ZTF18abgosbg 0.080000 Ia
58766.1735301 1 19.6593 0.229702
58764.1742824 1 19.6499 0.244545
58763.1829398 1 19.6205 0.241772
58762.1815972 1 19.5424 0.157436
58761.1824306 1 19.6224 0.146043
58760.1834144 1 19.7008 0.14024
58758.1990162 1 19.6216 0.172328
58754.1822569 1 19.5963 0.137889
58751.1825926 1 19.4822 0.107583
58750.1849537 1 19.6078 0.192071
58749.1846528 1 19.6124 0.136226
58748.1831366 1 19.5747 0.210581
58747.1840278 1 19.6616 0.134401
58746.2086111 1 19.5907 0.177399
58745.1841319 1 19.5256 0.119811
58744.1840162 1 19.5871 0.160116
58741.1844444 1 19.705 0.275396
58738.1887616 1 19.6417 0.260455
58736.3036806 1 19.79 0.228414
58735.296412 1 19.5527 0.1401
58734.2978356 1 19.6318 0.192402
58733.2965972 1 19.6405 0.145147
58732.2972685 1 19.6132 0.112918
58730.2989931 1 19.4921 0.126889
58727.3217014 1 19.5387 0.1238
58726.3002894 1 19.5418 0.146202
58725.2990046 1 19.5312 0.106837
58724.3226852 1 19.4768 0.117634
58723.322662 1 19.675 0.154652
58722.3006713 1 19.5455 0.123477
58720.3206134 1 19.5759 0.14767
58719.3023264 1 19.692 0.163412
58718.3215741 1 19.6072 0.164577
58717.3018287 1 19.5738 0.186271
58716.32125 1 19.5349 0.129169
58715.3019792 1 19.5195 0.148378
58714.2173843 1 19.4221 0.198769
58711.2168056 1 19.3852 0.202522
58710.2174306 1 19.5791 0.211686
58709.2275579 1 19.6392 0.23001
58708.2279514 1 19.6859 0.24944
58707.2268403 1 19.7012 0.236615
58706.2299306 1 19.6341 0.211286
58704.3083565 1 19.5432 0.139489
58703.3128819 1 19.5408 0.125667
58702.3124421 1 19.506 0.140796
58701.3132639 1 19.4632 0.159316
58700.3096759 1 19.5889 0.120802
58699.3131134 1 19.6292 0.130315
58697.3301736 1 19.5508 0.0987153
58696.3108912 1 19.5203 0.107625
58695.3096065 1 19.6432 0.303577
58693.282963 1 19.5678 0.116405
58691.3027083 1 19.5504 0.133896
58688.3280787 1 19.5692 0.289805
58685.3673264 1 19.6937 0.190431
58684.2688194 1 19.7434 0.309229
58683.2787847 1 19.6107 0.191484
58682.2171296 1 19.5911 0.210055
58681.2178819 1 19.265 0.155888
58674.3223843 1 19.6399 0.152207
58668.2881019 1 19.625 0.120651
58665.2216782 1 19.6215 0.129386
58655.3055324 1 19.3 0.17869
58654.3065972 1 19.6922 0.236429
58652.2198032 1 19.4137 0.209766
58649.3898495 1 19.5349 0.232208
58646.4120139 1 19.6885 0.152242
58643.3425579 1 19.5604 0.118769
58640.3490625 1 19.5695 0.1354
58637.4492824 1 19.658 0.142831
58634.4579514 1 19.6455 0.124246
58628.4490278 1 19.5852 0.1565
58617.3928356 1 19.5971 0.159008
58606.4699421 1 19.5448 0.119838
58581.3249769 1 19.7415 0.252966
58573.3595486 1 19.6578 0.199446
58557.4509954 1 19.5549 0.159827
58492.5522454 1 19.7089 0.127165
58457.1106481 1 19.5488 0.194687
58429.1953009 1 19.5501 0.110053
58382.2136111 1 19.6183 0.177782
58379.3242824 1 19.6702 0.128424
58376.236794 1 19.8027 0.159921
58373.2644329 1 19.7591 0.131626
58370.2419329 1 19.7351 0.148013
58367.2818403 1 19.8623 0.151284
58364.1968287 1 19.6724 0.172432
58349.2062153 1 19.4977 0.171453
58346.3257523 1 19.952 0.20598
58343.3862153 1 19.9243 0.157965
58321.413044 1 20.2426 0.190078
