ZTF18aaitowa 0.116000 Ia
58700.3039699 1 20.2847 0.249647
58699.3087963 1 20.3477 0.218959
58699.3074074 1 20.2633 0.283829
58697.3258681 1 20.1593 0.192749
58697.3244792 1 20.4049 0.259909
58696.3065856 1 20.2404 0.207728
58696.3051968 1 20.2631 0.225315
58694.306956 1 20.1422 0.174863
58694.2194444 1 19.9689 0.193944
58693.2677315 1 20.3008 0.189439
58690.206331 1 20.1914 0.182309
58690.2035301 1 20.1162 0.163272
58688.3309954 1 20.2385 0.292141
58688.3043519 1 20.1731 0.270093
58684.2645255 1 19.8907 0.258703
58682.2032755 1 20.1102 0.267448
58674.1974306 1 20.1135 0.266818
58674.1955671 1 20.4533 0.275026
58668.1977546 1 20.1845 0.226806
58665.205 1 20.242 0.166269
58665.2013657 1 20.2357 0.193102
58662.2210764 1 20.2802 0.171232
58662.2196875 1 20.1905 0.171732
58658.2220833 1 20.3725 0.174241
58655.2622338 1 20.2527 0.396522
58654.3051852 1 20.2696 0.320379
58648.330706 1 20.0799 0.335295
58648.3274884 1 20.1373 0.340697
58645.2423727 1 20.3033 0.249302
58642.3087153 1 20.2283 0.164211
58642.3055093 1 20.2974 0.155103
58639.2685301 1 20.2365 0.19828
58639.2653241 1 20.2541 0.148746
58636.4447685 1 20.3766 0.202101
58636.2838194 1 20.2021 0.168616
58633.2652662 1 20.2714 0.15386
58633.2643171 1 20.1713 0.206111
58616.2866551 1 20.2713 0.301183
58616.2277315 1 20.1583 0.31135
58608.3250347 1 20.3408 0.184265
58608.3032176 1 20.4977 0.367348
58597.4736806 1 20.3609 0.226971
58597.3045255 1 20.2156 0.268362
58581.3260532 1 20.235 0.213154
58573.3610301 1 20.3575 0.272866
58560.4950116 1 20.4037 0.286592
58547.3273148 1 20.2751 0.22963
58541.4467245 1 20.2995 0.16863
58526.464294 1 20.3334 0.291454
58511.4883565 1 20.1474 0.216311
58494.5327199 1 20.4041 0.211823
58492.5516898 1 20.2849 0.157933
58487.4956019 1 20.3181 0.215644
58376.2240278 1 20.2933 0.172734
58374.2166782 1 20.3332 0.19798
58372.2642361 1 20.3062 0.206762
58366.2395139 1 20.2736 0.197724
58366.2155671 1 20.4032 0.191498
58284.2631134 1 20.5127 0.18983
58278.3529745 1 20.203 0.127101
